Bank Number	Block Num	String Index	Line First Char	Portrait Id	Extracted String
6	0	0	0	0	Fight 
6	0	1	0	0	Shenzhen Nanjing
6	0	2	0	0	Cloud   
6	0	3	0	0	Barret  
6	0	4	0	0	Tifa    
6	0	5	0	0	Aeris   
6	0	6	0	0	RedX` 
6	0	7	0	0	CaitSith
6	0	8	0	0	Cid     
6	0	9	0	0	À·
6	0	10	0	0	À¸
6	0	11	0	0	À¹
6	0	12	0	0	Àº
6	0	13	0	0	        
6	0	14	0	0	HP 
6	0	15	0	0	Str
6	0	16	0	0	Vit
6	0	17	0	0	Int
6	0	18	0	0	Spr
6	0	19	0	0	Agl
6	0	20	0	0	* 
6	0	21	0	0	Fight One 
6	0	22	0	0	Fight All 
6	0	23	0	0	To One 
6	0	24	0	0	To All 
6	0	25	0	0	None
6	0	26	0	0	Cloud
6	0	27	0	0	Barret
6	0	28	0	0	Tifa
6	0	29	0	0	Aeris
6	0	30	0	0	RedX`
6	0	31	0	0	CaitSith
6	0	32	0	0	Cid
6	0	33	0	0	À»À¼
6	0	34	0	0	À½À¾
6	0	35	0	0	À¿ÀÀ
6	0	36	0	0	ÀÁÀÂ
6	0	37	0	0	Used 
6	0	38	0	0	Escaped!
6	0	39	0	0	No escape__
6	0	40	0	0	No effect__
6	0	41	0	0	Healed Self 
6	0	42	0	0	Healed 
6	0	43	0	0	Defeated__
6	0	44	0	0	Game Over!
6	0	45	0	0	Self 
6	0	46	0	0	HP Restored 
6	0	47	0	0	MP Restored 
6	0	48	0	0	All 
6	0	49	0	0	Revived 
6	0	50	0	0	Victory!
6	0	51	0	0	EXP:
6	0	52	0	0	Gil:
6	0	53	0	0	Level Up!
6	0	54	0	0	Got 
6	0	55	0	0	Buy?
6	0	56	0	0	Sell?
6	0	57	0	0	Deal!
6	0	58	0	0	Can't 
6	0	59	0	0	Not enough Gil!
6	0	60	0	0	HP 
6	0	61	0	0	Str
6	0	62	0	0	Vit
6	0	63	0	0	Int
6	0	64	0	0	Spr
6	0	65	0	0	Agl
6	0	66	0	0	 
6	0	67	0	0	None
6	0	68	0	0	Mastered!
6	0	69	0	0	Not enough EXP!
6	0	70	0	0	Enhanced!
6	0	71	0	0	To 
6	0	72	0	0	Equipped 
6	0	73	0	0	Clo
6	0	74	0	0	Bar
6	0	75	0	0	Tif
6	0	76	0	0	Aer
6	0	77	0	0	Red
6	0	78	0	0	Cat
6	0	79	0	0	Cid
6	1	0	0	0	None
6	1	1	0	0	{Wrath
6	1	2	0	0	{Force
6	1	3	0	0	{Lion
6	1	4	0	0	{White
6	1	5	0	0	{Light
6	1	6	0	0	{Sierra
6	1	7	0	0	{Valor
6	1	8	0	0	{Skull
6	1	9	0	0	{Warlord
6	1	10	0	0	{Beast
6	1	11	0	0	{Blaze
6	1	12	0	0	{Tyrant
6	1	13	0	0	{Frost
6	1	14	0	0	{Violent
6	1	15	0	0	{Forest
6	1	16	0	0	{Element
6	1	17	0	0	{Blaze
6	1	18	0	0	{Scale
6	1	19	0	0	{Dual
6	1	20	0	0	{Basket
6	1	21	0	0	{Marshal
6	1	22	0	0	{Pale
6	1	23	0	0	{Lark
6	1	24	0	0	{Thief
6	1	25	0	0	{Rune
6	1	26	0	0	{Flame
6	1	27	0	0	{Flint
6	1	28	0	0	{Dragon
6	1	29	0	0	{Storm
6	1	30	0	0	{Guard
6	1	31	0	0	{Arcane
6	1	32	0	0	{Satin
6	1	33	0	0	{Silk
6	1	34	0	0	{Demon
6	1	35	0	0	}DarkEye
6	1	36	0	0	{Crystal
6	1	37	0	0	{Prophet
6	1	38	0	0	{Scholar
6	1	39	0	0	{Goggle
6	1	40	0	0	{Mist
6	1	41	0	0	{Shroud
6	1	42	0	0	{Pope
6	1	43	0	0	{Devout
6	1	44	0	0	{Major
6	1	45	0	0	{Sacred
6	1	46	0	0	{Spark
6	1	47	0	0	{Crimson
6	1	48	0	0	{Pearl
6	1	49	0	0	{Bishop
6	1	50	0	0	{Scarf
6	1	51	0	0	{Burqa
6	1	52	0	0	{Rimmed
6	1	53	0	0	{Woven
6	1	54	0	0	{Knitted
6	1	55	0	0	{Hood
6	2	0	0	0	None
6	2	1	0	0	|Dragoon
6	2	2	0	0	|Law
6	2	3	0	0	|Light
6	2	4	0	0	|Power
6	2	5	0	0	|Hilltop
6	2	6	0	0	|Midgard
6	2	7	0	0	|Alloy
6	2	8	0	0	|Chrono
6	2	9	0	0	|Shaman
6	2	10	0	0	|Crush
6	2	11	0	0	|Death
6	2	12	0	0	|Valor
6	2	13	0	0	|Silver
6	2	14	0	0	|Gear
6	2	15	0	0	|Board
6	2	16	0	0	|Defend
6	2	17	0	0	|Serpent
6	2	18	0	0	|Knight
6	2	19	0	0	|Demon
6	2	20	0	0	|Ghost
6	2	21	0	0	|Noble
6	2	22	0	0	|Titan
6	2	23	0	0	|Templar
6	2	24	0	0	|Ice
